question,possible answers,Right answer,topic
What is the formula for Newton's second law of motion?,"A) F = ma, B) E = mc², C) F = mv, D) P = mv",A) F = ma,phisics
"What is the relationship between force, mass, and acceleration? ","a) Force = mass x acceleration , b) Mass = force x acceleration , c) Acceleration =  mass x force , d) Force + mass = acceleration ",a) Force = mass x acceleration,phisics
What is the formula for calculating force? ,"A) F = ma , B) E = mc² , C) P = mv , D) W = mg ",A) F = ma,phisics
What is the formula for calculating gravitational force?,"A) F = ma, B) F = G(m1m2/r^2), C) E = mc^2, D) W = Fd",B) F = G(m1m2/r^2),phisics
What is the SI unit of force?,"A) Newton (N), B) Meter (m), C) Gram (g), D) Liter (L)",A) Newton (N),phisics
"What is the study of matter and energy, their interactions, and their motion?","a) Biology , b) Chemistry , c) Physics , d) Astronomy ",c) Physics.,phisics
What is the formula for calculating kinetic energy?,"A) KE = 1/2mv^2, B) PE = mgh, C) F = ma, D) P = W/t",A) KE = 1/2mv^2,phisics
What is the law of conservation of momentum?,"a) The total momentum of two objects after they collide is equal to the sum of their initial momentums, b) The velocity of an object remains constant unless acted upon by a force, c) An object at rest will remain at rest, and an object in motion will remain in motion at a constant velocity, unless acted upon by an external force, d) The force acting on an object is equal to its mass times its acceleration",a) The total momentum of two objects after they collide is equal to the sum of their initial momentums.,phisics
What is the speed of light in a vacuum?,"A) 299,792,458 m/s, B) 299,792,458 km/h, C) 299,792,458 mph, D) 299,792,458 ft/s","A) 299,792,458 m/s",phisics
What is the SI unit of power?,"a) Newton, b) Joule, c) Watt, d) Pascal",c) Watt,phisics
What is the definition of acceleration?,"a) The speed of an object, b) The distance an object travels over a period of time, c) The rate at which an object changes its velocity, d) The force that opposes motion",c) The rate at which an object changes its velocity,phisics
What is the formula for calculating work done?,"A) W = mv², B) W = Fd, C) W = P / V, D) W = F / m",B) W = Fd,phisics
What is the energy needed to move an object against a force called? ,"a) Potential energy , b) Kinetic energy , c) Work energy , d) Gravitational energy ",c) Work energy.,phisics
What is the fundamental force responsible for holding atoms together?,"A. Electromagnetic force, B. Strong nuclear force, C. Weak nuclear force, D. Gravitational force",B. Strong nuclear force,phisics
What is the force that attracts two objects towards each other?,"a) Force of friction, b) Force of gravity, c) Force of air resistance, d) Electromagnetic force",b) Force of gravity,phisics
What is the law of conservation of energy?,"A. Energy can be created out of nothing., B. Energy can be destroyed., C. Energy can be converted from one form to another., D. Energy cannot be converted from one form to another.",C. Energy can be converted from one form to another.,phisics
What is the formula for calculating velocity?,"a) v = d/t, b) v = m/s, c) v = f/a, d) v = p/t",a) v = d/t,phisics
What is the equation for Newton's Second Law of Motion?,"A. f = m/d, B. a = v/t, C. F = ma, D. E = mc²",C. F = ma,phisics
What is the formula for calculating the force of an object?,"A. F = ma, B. F = QV, C. F = mg, D. F = kx",A. F = ma,phisics
Which of the following is not a fundamental force?,"A) Gravitational force, B) Electromagnetic force, C) Strong nuclear force, D) Weak nuclear force ",D,phisics
What is the formula for calculating the force exerted by an object?,"a) F = ma, b) F = mv, c) F = mgh, d) F = kx",a) F = ma,phisics
What is the formula for calculating force (F) in physics?,"A. F = m * v , B. F = m * g , C. F = m / v , D. F = m * a ",D. F = m * a,phisics
What is the law that states that every action has an equal and opposite reaction?,"""A. Newtons First Law"", ""B. Newtons Second Law"", ""C. Newtons Third Law"", D. Law of Inertia",C. Newton's Third Law,phisics
What is the formula for calculating force?,"A) F = ma, B) F = mv, C) F = ah, D) F = hp",A) F = ma,phisics
"What is the relationship between force, mass and acceleration?","a. Force = mass x acceleration, b. Mass = force x acceleration, c. Acceleration = force x mass, d. Force + mass + acceleration = total energy",a. Force = mass x acceleration.,phisics
What is the law of conservation of energy?,"A) Energy cannot be created or destroyed, only transformed from one form to another., B) Energy can be created, but not destroyed., C) Energy can be conserved in certain circumstances only., D) Energy can be destroyed, but not created.",A,phisics
What is the formula for calculating kinetic energy?,"A) F = ma, B) E = mc², C) P = F/A, D) E =(½)mv²",D) E = (½)mv²,phisics
What is the unit of measurement for force in the International System of Units (SI)?,"a) Joules (J), b) Watts (W), c) Newtons (N), d) Meters (m)",c) Newtons (N),phisics
"What is the relationship between force, mass, and acceleration according to Newton's Second Law of Motion?","A) F = ma, B) F = m/a, C) F = a/m, D) F = 1/2ma",A) F = ma,phisics
What is the formula for calculating force?,"A) F=mv, B) F=ma, C) F=KE, D) F=PE",B) F=ma,phisics
What is the temperature at which water freezes?,"A) 0°C, B) 32°C, C) 100°C, D) -273.15°C",A) 0°C,phisics
What is the speed of light in a vacuum?,"A. 299,792,458 m/s, B. 300,000 m/s, C. 3,000,000 m/s, D. 30,000,000 m/s","A. 299,792,458 m/s",phisics
What is the unit of electric current?,"A) Joule, B) Ohm, C) Coulomb, D) Ampere",D) Ampere,phisics
What is the unit of measurement for force in physics?,"a) Joule, b) Volt, c) Newton, d) Pascal",c) Newton,phisics
What is the formula for calculating force?,"a) F = ma, b) F = mv, c) F = mg, d) F = mb",a) F = ma,phisics
What is the formula for potential energy?,"A) PE = mgh, B) F = ma, C) KE = 1/2mv^2, D) W = Fd",A) PE = mgh,phisics
What is the formula for calculating velocity?,"A) V = d/t, B) F = ma, C) KE = 1/2mv^2, D) P = mv",A) V = d/t,phisics
What is the formula for calculating force?,"A) F = m x a, B) F = m / a, C) F = a / m, D) F = m - a",Correct answer: A) F = m x a,phisics
What is the unit of electrical resistance?,"A) Newtons (N), B) Joules (J), C) Volts (V), D) Ohms (Ω)",(D) Ohms (Ω),phisics
What is the formula for calculating kinetic energy?,"A) KE = 1/2mv, B) KE = mv^2, C) KE = mgh, D) KE = h^2",B) KE = mv^2,phisics
What is the force required to accelerate a mass of 10 kg at a rate of 5 m/s²?,"A) 5 N, B) 50 N, C) 100 N, D) 500 N ",D) 500 N,phisics
What is the force that keeps planets and moons in orbit around a central body?,"A) Electromagnetism, B) Gravity, C) Nuclear force, D) Friction",B) Gravity,phisics
What is the force that acts on a charged particle in an electric field? ,"A) Magnetic force, B) Frictional force, C) Gravitational force, D) Electric force",D) Electric force,phisics
What is the term for the force that opposes motion between two touching surfaces?,"A) Kinetic energy, B) Gravitational force, C) Work, D) Friction",D) Friction,phisics
What is the formula for calculating velocity?,"A) v = d/t, B) F = ma, C) E = mc², D) P = F/A",A) v = d/t,phisics
What is the formula for calculating the force (F) applied to an object with mass (m) and acceleration (a)?,"a) F = m + a, b) F = ma, c) F = m/a, d) F = a/m",b) F = ma,phisics
What is the formula for calculating gravitational force?,"A) F = ma, B) F = G(m1 m2)/r^2, C) F = kx, D) F = QvBsinθ",B,phisics
What is the unit of measurement for force?,"A. Joule, B. Watt, C. Newton, D. Ohm",Correct Answer: C. Newton,phisics
What is the force that opposes motion between two surfaces that are in contact with each other?,"a) Frictional force, b) Gravitational force, c) Electrostatic force, d) Magnetic force",a) Frictional force,phisics
What is the fundamental unit of charge in the International System of Units (SI)? ,"A) Ampere , B) Volt , C) Coulomb , D) Ohm",C) Coulomb,phisics
What is the formula to calculate kinetic energy?,"A) KE = mv, B) KE = 1/2mv^2, C) KE = mgh, D) KE = Fd",B) KE = 1/2mv^2,phisics
What is the formula for calculating the force (F) acting on an object with mass (m) and acceleration (a)?,"A) F = ma, B) F = m/a, C) F = m + a, D) F = m × a",A) F = ma,phisics
What is the SI unit of force?,"A) Newton (N), B) Kilogram meter per second squared (kg•m/s²), C) Joule (J), D) Watt (W)",A) Newton (N),phisics
What is the SI unit of force?,"a) Newton (N), b) Kilogram (kg), c) Meter (m), d) Second (s)",a) Newton (N),phisics
What is the smallest unit of matter?,"A) Element, B) Atom, C) Molecule, D) Ion",B) Atom,phisics
What is the formula for calculating work done?,"A) W = F/v, B) W = mgh, C) W = P/t, D) W = Q/C",B) W = mgh,phisics
What is the formula for calculating force?,"A) F = ma, B) E = mc², C) P = mv, D) W = mg",A) F = ma,phisics
What is the formula for calculating force?,"A) F = mv, B) F = ma, C) F = mgh, D) F = kx",B) F = ma,phisics
What is the SI unit of force?,"a. Newton (N), b. Meter (m), c. Kilogram (kg), d. Second (s)",a. Newton (N),phisics
What is the SI unit of force?,"A) Joule, B) Newton, C) Watt, D) Ampere",B) Newton,phisics
What is the unit of measurement for force in the International System of Units (SI)?,"A. Newton (N), B. Joule (J), C. Watt (W), D. Hertz (Hz)",Right answer: A. Newton (N),phisics
What is the equation for the force of gravity?,"A) F = ma, B) F = G(m1m2)/r^2, C) E = mc^2, D) P = F/A",B) F = G(m1m2)/r^2,phisics
What is the study of the fundamental nature of matter and energy?,"A. biology, B. chemistry, C. physics, D. geology",C. physics.,phisics
What is the term that describes the resistance of a fluid to flow?,"a) Viscosity, b) Density, c) Buoyancy, d) Gravity",a) Viscosity.,phisics
What is the formula for finding work done?,"A) W = mgh, B) W = F x d, C) W = P x V, D) W = Q x t",B) W = F x d,phisics
What is the formula for calculating force?,"A) distance x time, B) mass x acceleration, C) weight x gravity, D) velocity x momentum",B) mass x acceleration,phisics
What is the fundamental unit of energy in physics?,"A) Newton, B) Joule, C) Watt, D) Pascal",B) Joule,phisics
The energy stored in a spring is proportional to its:,"A) Volume, B) Mass, C) Density, D) Deformation",D) Deformation,phisics
What is the amount of matter in an object called?,"a) density, b) weight, c) mass, d) volume",c) mass,phisics
What is the unit of measure for energy?,"A. Joules, B. Newtons, C. Meters per second, D. Amps",A. Joules.,phisics
Which of the following is NOT a type of electromagnetic radiation?,"A) Gamma rays, B) X-rays, C) Microwaves, D) Ultrasound",D) Ultrasound,phisics
What is the formula for calculating kinetic energy?,"A) F = ma, B) E = mgh, C) P = F/A, D) E = 1/2 mv²",D) E = 1/2 mv²,phisics
Which of the following is a unit of energy?,"a) Newton, b) Joule, c) Kelvin, d) Watt",b) Joule,phisics
What is the basic unit of electric charge?,"A. Coulomb, B. Ampere, C. Joule, D. Volt",A. Coulomb,phisics
What is the unit of measurement for electrical charge?,"a) Joule (J), b) Volt (V), c) Ampere (A), d) Ohm (Ω)",(c) Ampere (A),phisics
What is the formula for calculating force?,"A) F = m × v , B) F = m × a , C) F = P × V , D) F = ½mv² ",B) F = m × a (Force equals mass multiplied by acceleration),phisics
What is the unit of force in the International System of Units (SI)?,"A) Celsius (°C), B) Ampere (A), C) Newton (N), D) Joule (J)",C) Newton (N),phisics
What is the formula for calculating force?,"a) Force = mass x acceleration, b) Force = distance ÷ time, c) Force = work ÷ time, d) None of the above",a) Force = mass x acceleration.,phisics
What is the formula for calculating force?,"A) F=ma, B) E=mc², C) P=mv, D) V=F/d",A) F=ma,phisics
What is the formula to calculate force?,"A) F=ma, B) E=mc², C) P=mv, D) A=Δv/Δt",A) F=ma,phisics
What is the unit of measurement for electric current?,"A. Ampere, B. Joule, C. Newton, D. Hertz",A. Ampere,phisics
